_id,lat,lng,main_damage,grouped_damage,confidence_level,geo_result,occupancy,address,parsed_address,address_dict,country,parish,town,suburb,street,place
"BLDG28097","15.30675762","-61.38604908","Negligible to slight damage","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28098","15.30674512","-61.38638795","Moderately Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28099","15.30668282","-61.3864531","Moderately Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28100","15.30637005","-61.38660332","Highly Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28101","15.30629575","-61.3866624","Highly Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28102","15.30626834","-61.38659178","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28103","15.30607486","-61.38670413","Moderately Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28104","15.30598541","-61.38673561","Moderately Damaged","Damaged Buildings","nan","15.30595255,-61.3872143,yes","yes","T.C. Sunbeam Pre-School, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","T.C. Sunbeam Pre-School,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","T.C. Sunbeam Pre-School"
"BLDG28105","15.30637459","-61.386403099999995","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28106","15.30657362","-61.38623219","Negligible to slight damage","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28107","15.30603909","-61.38713249","Negligible to slight damage","Damaged Buildings","nan","15.30595255,-61.3872143,yes","yes","T.C. Sunbeam Pre-School, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","T.C. Sunbeam Pre-School,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","T.C. Sunbeam Pre-School"
"BLDG28108","15.30704015","-61.38584981","Highly Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28109","15.30718833","-61.38567313","Moderately Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28110","15.30720865","-61.38558983","Moderately Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28111","15.305885199999999","-61.38817461","Moderately Damaged","Damaged Buildings","nan","15.30595885,-61.3882684615164,government","government","Youth Development Division, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Youth Development Division,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","Youth Development Division"
"BLDG28112","15.30616489","-61.38385625","Negligible to slight damage","Damaged Buildings","nan","15.3063965,-61.3843726386139,hospital","hospital","Princess Margaret Hospital, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Princess Margaret Hospital,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Princess Margaret Hospital"
"BLDG28113","15.30608782","-61.38394615","Negligible to slight damage","Damaged Buildings","nan","15.3063965,-61.3843726386139,hospital","hospital","Princess Margaret Hospital, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Princess Margaret Hospital,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Princess Margaret Hospital"
