lid,latitude,longitude,population_2015,population_2020,abs_increase,perc_increase
LOC00068,15.21402778,-61.34180556,7.53397121,7.568222297,0.034251087,1.00
LOC00069,15.21402778,-61.34152778,7.53397121,7.568222297,0.034251087,1.00
LOC00070,15.21430556,-61.34236111,7.53397121,7.568222297,0.034251087,1.00
LOC00071,15.21458333,-61.36569444,7.53397121,7.568222297,0.034251087,1.00
LOC00072,15.21458333,-61.34208333,7.53397121,7.568222297,0.034251087,1.00
LOC00073,15.21486111,-61.36541667,7.53397121,7.568222297,0.034251087,1.00
LOC00074,15.21486111,-61.34180556,7.53397121,7.568222297,0.034251087,1.00
LOC00075,15.21513889,-61.34152778,7.53397121,7.568222297,0.034251087,1.00
LOC00076,15.21513889,-61.34125,7.53397121,7.568222297,0.034251087,1.00
LOC00077,15.21541667,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00078,15.21541667,-61.34152778,7.53397121,7.568222297,0.034251087,1.00
LOC00079,15.21569444,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00080,15.21569444,-61.34125,7.53397121,7.568222297,0.034251087,1.00
LOC00081,15.21569444,-61.34097222,7.53397121,7.568222297,0.034251087,1.00
LOC00082,15.21625,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00083,15.21652778,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00084,15.21680556,-61.36513889,7.53397121,7.568222297,0.034251087,1.00
LOC00085,15.21736111,-61.36486111,7.53397121,7.568222297,0.034251087,1.00
LOC00086,15.21763889,-61.36458333,7.53397121,7.568222297,0.034251087,1.00
LOC00087,15.22041667,-61.35152778,7.53397121,7.568222297,0.034251087,1.00
LOC00088,15.22180556,-61.35263889,7.53397121,7.568222297,0.034251087,1.00
LOC00089,15.22208333,-61.35291667,7.53397121,7.568222297,0.034251087,1.00
LOC00090,15.22208333,-61.34430556,7.53397121,7.568222297,0.034251087,1.00
LOC00091,15.22236111,-61.35736111,7.53397121,7.568222297,0.034251087,1.00
LOC00092,15.22236111,-61.34375,7.53397121,7.568222297,0.034251087,1.00
LOC00093,15.22263889,-61.35736111,7.53397121,7.568222297,0.034251087,1.00
LOC00094,15.22263889,-61.35708333,7.53397121,7.568222297,0.034251087,1.00
LOC00095,15.22263889,-61.34347222,7.53397121,7.568222297,0.034251087,1.00
LOC00096,15.22263889,-61.34319444,7.53397121,7.568222297,0.034251087,1.00
LOC00097,15.22291667,-61.35708333,7.53397121,7.568222297,0.034251087,1.00
LOC00098,15.22291667,-61.34319444,7.53397121,7.568222297,0.034251087,1.00
LOC00099,15.22319444,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00100,15.22319444,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00101,15.22319444,-61.35763889,7.53397121,7.568222297,0.034251087,1.00
LOC00102,15.22347222,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00103,15.22347222,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00104,15.22347222,-61.35763889,7.53397121,7.568222297,0.034251087,1.00
LOC00105,15.22347222,-61.35236111,7.53397121,7.568222297,0.034251087,1.00
LOC00106,15.22375,-61.35763889,7.53397121,7.568222297,0.034251087,1.00
LOC00107,15.22402778,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00108,15.22402778,-61.35763889,7.53397121,7.568222297,0.034251087,1.00
LOC00109,15.22597222,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
LOC00110,15.22625,-61.35986111,7.53397121,7.568222297,0.034251087,1.00
LOC00111,15.22763889,-61.35263889,7.53397121,7.568222297,0.034251087,1.00
LOC00112,15.22763889,-61.35236111,7.53397121,7.568222297,0.034251087,1.00
LOC00113,15.22930556,-61.35375,7.53397121,7.568222297,0.034251087,1.00
LOC00114,15.22930556,-61.34708333,7.53397121,7.568222297,0.034251087,1.00
LOC00115,15.22958333,-61.34819444,7.53397121,7.568222297,0.034251087,1.00
LOC00116,15.22958333,-61.34736111,7.53397121,7.568222297,0.034251087,1.00
LOC00117,15.22986111,-61.34847222,7.53397121,7.568222297,0.034251087,1.00
LOC00118,15.22986111,-61.34819444,7.53397121,7.568222297,0.034251087,1.00
LOC00119,15.22986111,-61.34736111,7.53397121,7.568222297,0.034251087,1.00
LOC00120,15.23013889,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
LOC00121,15.23013889,-61.35986111,7.53397121,7.568222297,0.034251087,1.00
LOC00122,15.23013889,-61.34736111,7.53397121,7.568222297,0.034251087,1.00
LOC00123,15.23041667,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
LOC00124,15.23097222,-61.35625,7.53397121,7.568222297,0.034251087,1.00
LOC00125,15.23125,-61.35541667,7.53397121,7.568222297,0.034251087,1.00
LOC00126,15.23125,-61.32597222,3.813613053,3.689797482,-0.123815571,0.97
LOC00127,15.23152778,-61.35541667,7.53397121,7.568222297,0.034251087,1.00
LOC00128,15.23180556,-61.36041667,7.53397121,7.568222297,0.034251087,1.00
LOC00129,15.23180556,-61.35597222,7.53397121,7.568222297,0.034251087,1.00
LOC00130,15.23180556,-61.35569444,7.53397121,7.568222297,0.034251087,1.00
LOC00131,15.23208333,-61.36125,7.53397121,7.568222297,0.034251087,1.00
LOC00132,15.23208333,-61.36097222,7.53397121,7.568222297,0.034251087,1.00
LOC00133,15.23208333,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00134,15.23208333,-61.35180556,7.53397121,7.568222297,0.034251087,1.00
LOC00135,15.23236111,-61.36125,7.53397121,7.568222297,0.034251087,1.00
LOC00136,15.23236111,-61.36097222,7.53397121,7.568222297,0.034251087,1.00
LOC00137,15.23236111,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00138,15.23236111,-61.35930556,7.53397121,7.568222297,0.034251087,1.00
LOC00139,15.23236111,-61.35180556,7.53397121,7.568222297,0.034251087,1.00
LOC00140,15.23263889,-61.36180556,7.53397121,7.568222297,0.034251087,1.00
LOC00141,15.23263889,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00142,15.23263889,-61.35930556,7.53397121,7.568222297,0.034251087,1.00
LOC00143,15.23263889,-61.35041667,7.53397121,7.568222297,0.034251087,1.00
LOC00144,15.23291667,-61.36208333,7.53397121,7.568222297,0.034251087,1.00
LOC00145,15.23291667,-61.36180556,7.53397121,7.568222297,0.034251087,1.00
LOC00146,15.23291667,-61.36152778,7.53397121,7.568222297,0.034251087,1.00
LOC00147,15.23291667,-61.36125,7.53397121,7.568222297,0.034251087,1.00
LOC00148,15.23291667,-61.36097222,7.53397121,7.568222297,0.034251087,1.00
LOC00149,15.23291667,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
LOC00150,15.23291667,-61.35986111,7.53397121,7.568222297,0.034251087,1.00
LOC00151,15.23291667,-61.35958333,7.53397121,7.568222297,0.034251087,1.00
LOC00152,15.23319444,-61.36208333,7.53397121,7.568222297,0.034251087,1.00
LOC00153,15.23319444,-61.36180556,7.53397121,7.568222297,0.034251087,1.00
LOC00154,15.23319444,-61.36125,7.53397121,7.568222297,0.034251087,1.00
LOC00155,15.23319444,-61.36097222,7.53397121,7.568222297,0.034251087,1.00
LOC00156,15.23319444,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00157,15.23319444,-61.35986111,7.53397121,7.568222297,0.034251087,1.00
LOC00158,15.23319444,-61.35958333,7.53397121,7.568222297,0.034251087,1.00
LOC00159,15.23319444,-61.35930556,7.53397121,7.568222297,0.034251087,1.00
LOC00160,15.23319444,-61.35875,7.53397121,7.568222297,0.034251087,1.00
LOC00161,15.23319444,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00162,15.23347222,-61.36180556,7.53397121,7.568222297,0.034251087,1.00
LOC00163,15.23347222,-61.36152778,7.53397121,7.568222297,0.034251087,1.00
LOC00164,15.23347222,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00165,15.23347222,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
LOC00166,15.23347222,-61.35986111,7.53397121,7.568222297,0.034251087,1.00
LOC00167,15.23347222,-61.35958333,7.53397121,7.568222297,0.034251087,1.00
LOC00168,15.23347222,-61.35902778,7.53397121,7.568222297,0.034251087,1.00
LOC00169,15.23347222,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00170,15.23347222,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00171,15.23347222,-61.35625,7.53397121,7.568222297,0.034251087,1.00
LOC00172,15.23347222,-61.35097222,7.53397121,7.568222297,0.034251087,1.00
LOC00173,15.23375,-61.35986111,7.53397121,7.568222297,0.034251087,1.00
LOC00174,15.23375,-61.35930556,7.53397121,7.568222297,0.034251087,1.00
LOC00175,15.23375,-61.35902778,7.53397121,7.568222297,0.034251087,1.00
LOC00176,15.23375,-61.35847222,7.53397121,7.568222297,0.034251087,1.00
LOC00177,15.23375,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00178,15.23375,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00179,15.23375,-61.35736111,7.53397121,7.568222297,0.034251087,1.00
LOC00180,15.23375,-61.35708333,7.53397121,7.568222297,0.034251087,1.00
LOC00181,15.23375,-61.33319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00182,15.23375,-61.33263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00183,15.23402778,-61.36041667,7.53397121,7.568222297,0.034251087,1.00
LOC00184,15.23402778,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
LOC00185,15.23402778,-61.35958333,7.53397121,7.568222297,0.034251087,1.00
LOC00186,15.23402778,-61.35902778,7.53397121,7.568222297,0.034251087,1.00
LOC00187,15.23402778,-61.35875,7.53397121,7.568222297,0.034251087,1.00
LOC00188,15.23402778,-61.35819444,7.53397121,7.568222297,0.034251087,1.00
LOC00189,15.23402778,-61.35680556,7.53397121,7.568222297,0.034251087,1.00
LOC00190,15.23402778,-61.35625,7.53397121,7.568222297,0.034251087,1.00
LOC00191,15.23402778,-61.35236111,7.53397121,7.568222297,0.034251087,1.00
LOC00192,15.23402778,-61.33319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00193,15.23402778,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00194,15.23402778,-61.33263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00195,15.23430556,-61.36069444,7.53397121,7.568222297,0.034251087,1.00
LOC00196,15.23430556,-61.36013889,7.53397121,7.568222297,0.034251087,1.00
