X,Y,Site_ID,AgencyID,SiteName,Notes,Area_m2,Area_ha,EventCode
-61.3627066936752,15.5158030897951,Building (General / Default),UNOSAT,Dominica,,908200567.222,90820.0567222,TC20170918DMA
-61.3156610887944,15.2443723280873,Building (General / Default),UNOSAT,Dominica,,162920220.441,16292.0220441,TC20170918DMA
