X,Y,Confidence,SensorDate,SensorID,FieldValid,Notes,Area_m2,StaffID,EventCode,Area_ha,Staff_ID,Agency
-61.3804314905173,15.4552707012251,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,52432.1692585,AM,TC20170918DMA,5.24322,AM,UNOSAT
-61.3832171992772,15.456408241497,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,21922.5547147,AM,TC20170918DMA,2.19226,AM,UNOSAT
-61.3868095207046,15.4553997429824,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,55362.3082935,AM,TC20170918DMA,5.53623,AM,UNOSAT
-61.3901893278889,15.4533507144421,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,118649.19447,AM,TC20170918DMA,11.8649,AM,UNOSAT
-61.3927952138057,15.4551683718911,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,81916.4047802,AM,TC20170918DMA,8.19164,AM,UNOSAT
-61.3660416585659,15.4353924160301,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,81067.5833684,AM,TC20170918DMA,8.10676,AM,UNOSAT
-61.3779541076261,15.4331983886298,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,96352.0809653,AM,TC20170918DMA,9.63521,AM,UNOSAT
-61.2900311559611,15.4549451873958,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,69292.5871449,AM,TC20170918DMA,6.92926,AM,UNOSAT
-61.3284325321736,15.4543830835746,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,27933.9866769,AM,TC20170918DMA,2.7934,AM,UNOSAT
-61.3545319241518,15.4554745053802,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,74519.5496403,AM,TC20170918DMA,7.45195,AM,UNOSAT
-61.3444936612172,15.4553752528523,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,218263.667523,AM,TC20170918DMA,21.8264,AM,UNOSAT
-61.3743163936051,15.4534172026797,Medium,2017/10/05,Pleiades,Not yet field validated,Dominica AOI4 Cloud Obstruction,100237.120172,AM,TC20170918DMA,10.0237,AM,UNOSAT
-61.4127136746965,15.6075657955545,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,673955.505385,HA,TC20170918DMA,67.3956,HA,UNOSAT
-61.408161563352,15.5311929624058,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,52025.8749189,HA,TC20170918DMA,5.20259,HA,UNOSAT
-61.419886057498,15.5285014659539,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,58839.19395,HA,TC20170918DMA,5.88392,HA,UNOSAT
-61.440442859025,15.5227137001572,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,564104.348175,HA,TC20170918DMA,56.4104,HA,UNOSAT
-61.4209844480358,15.5536406305992,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,1452267.73086,SB,TC20170918DMA,145.227,HA,UNOSAT
-61.4007332152572,15.4668701710784,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,95657.7844849,HA,TC20170918DMA,9.56578,HA,UNOSAT
-61.3995923411358,15.4712138081896,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica_AOI1_CloudObstruction,63862.1319508,HA,TC20170918DMA,6.38621,HA,UNOSAT
-61.3451139547774,15.2463341691634,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,5555829.45237,SB,TC20170918DMA,555.583,SB,UNOSAT
-61.3412477868666,15.2263193310687,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,959027.524082,SB,TC20170918DMA,95.9028,SB,UNOSAT
-61.3203700846023,15.239888999353,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,50736.561736,SB,TC20170918DMA,5.07366,SB,UNOSAT
-61.324969333124,15.2349767813742,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,254013.780656,SB,TC20170918DMA,25.4014,SB,UNOSAT
-61.3512415304727,15.2187340029019,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,793220.363562,SB,TC20170918DMA,79.322,SB,UNOSAT
-61.3542990738783,15.2137959360284,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,59888.7793342,SB,TC20170918DMA,5.98888,SB,UNOSAT
-61.3440889380615,15.2159513745304,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,25684.6158446,SB,TC20170918DMA,2.56846,SB,UNOSAT
-61.3356398621972,15.2462467537956,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,9770.77848458,SB,TC20170918DMA,0.977078,SB,UNOSAT
-61.33832800874,15.2438921347131,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,12419.939936,SB,TC20170918DMA,1.24199,SB,UNOSAT
-61.2676820758496,15.2901022173617,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,26660.207263,SB,TC20170918DMA,2.66602,SB,UNOSAT
-61.2782115523551,15.2899670343186,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,644207.096629,SB,TC20170918DMA,64.4207,SB,UNOSAT
-61.2628011730499,15.2900879424369,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,26230.8564402,SB,TC20170918DMA,2.62309,SB,UNOSAT
-61.2572215865803,15.2895608390985,Medium,2017/09/23,Pleiades,Not yet field validated,Dominica AOI3 Cloud Obstruction,332034.148845,SB,TC20170918DMA,33.2034,SB,UNOSAT
